id,en,fr
_see_my_letters,See my letters,Voir mes lettres
_start_story,Start Story,Commencer l'histoire
_language_challenges,Language Challenges,Défis de language
_quit,Quit,Quitter
_type_your_name,Type your name,Entre ton nom
_pick_character,Pick your character's appearance,Choisis l'apparence de ton personnage
_can_you_read_thai,Can you already read the Thai alphabet?,Sais-tu lire les letters de l'alphabet Thaï ?
_yes,Yes,Oui
_no,No,Non
_do_you_want_to_leave_game,Do you want to leave the game?,Veux-tu quitter le jeu ?
_leave_game,Leave the game,Quitter le jeu
_continue_playing,Continue playing,Continuer à jouer
_start_playing,Start playing,Commencer le jeu
_move_with_arrow_keys,Move with arrow keys or WASD,Déplace-toi avec les flèches ou WASD
_space_to_interact,Press Space to interact,Appuie sur Espace pour interagir
_active_quests,Active quests,Quêtes en cours
_granny_is_waiting_outside,Granny is waiting for you outside.,Mamie t'attends dehord.
_be_brave_okay,"Be brave, okay?","Tu seras brave, hein ?"
_press_f_to_exit,Press the escape key to exit,Appuie sur échap pour fermer
_see_my_words,See my words,Voir mes mots
_go_to_the_letter_world,Go to the Letter World,Entrer dans le monde des letters
_see_my_sentences,See my sentences,Voir mes phrases
_oh_name_you_woke_up,"Oh [Name], you woke up?","Ah, [Name], t'as finis par te lever ?"
_today_is_your_big_day,"Today is your big day, did you manage to sleep at all?","Aujourd'hui c'est le jour de ta cérémonie, ça a pas du être facile de t'endormir."
_mom,Mom,Maman
_dad,Dad,Papa
_press_space,Press Space,Appuie sur Espace
_be_strong_name,Be strong [Name].,"Courage, [Name]."
_you_ll_be_brave_alright,"You’ll be brave, alright?","Tu n'as pas à avoir peur, [Name]."
_granny_is_best_nothing_to_fear,"Granny is the best shaman in all Isan, you have nothing to fear.","Mamie est la meilleure shamane de tout Isan, tout se passera bien."
_dont_forget_i_love_you,"And whatever you will forget, remember your mom loves you!","Quoi que tu oublies pendant la cérémonie, n'oublie pas que ta maman t'aime fort !"
_alright_name_lets_go,"Alright [Name], let’s go.","Allez, [Name], on y va !"
_you_ve_discovered_a_sentence,You've discovered a sentence!,Tu as découvert une phrase !
_it_will_help_you_to_guess_meaning_words,It will help you later to guess the meaning of its words,Elle t'aidera à deviner le sens de ses mots plus tard.
_got_it,Got it!,Compris!
_names_writes_sentence_in_notebook,[Name] writes the sentence in the notebook.,[Name] note la phrase dans le carnet.
_press_f_to_see_all_sentences,Click on the sentence button on the side of your screen to see all your sentences.,Appuie sur F pour voir toutes tes phrases.
_som_s_father,Som's father,Père de Som
_som_s_mother,Som's Mother,Mère de Som
_go_back_to_the_material_world,Go back to the Material World,Retourner dans le monde matériel
_unknown_meaning,Unknown meaning,Traduction inconnue
_how_s_progress_with_training_name,"How's progress with your training, [Name]? Learning many words?","Comment se passe ton éducation de chaman, [Name] ? Tu apprends beaucoup de nouveaux mots ?"
_my_grandmother_is_super_cool_right,"My grandmother is super cool, right?","Ma mamie est trop cool, hein ?"
_som_s_grandmother,Som's Grandmother,Grand-mère de Som
_you_ve_learned_a_sentence,You've learned a sentence!,Tu as appris une phrase !
_guess_the_words_meaning,Find the word's meaning,Trouve la traduction de ce mot
_show_sentences_with_that_word,Show sentences with that word,Montrer les phrases qui ont ce mot
_press_f_to_open_your_dictionary_and_see_that_word,Click on the word button on the side of your screen to open your dictionary and see your words.,Clique sur le bouton sur la droite de l'écran si tu veux voir les mots que tu connais.
_a_wild_spell_attacks,A wild Spell attacks!,Un mot sauvage attaque !
_you_dont_know_letters_go_to_letter_world,You don't know all the letters in that word. Go to the Letter World to learn them.,Tu ne connais pas toutes les lettres de ce mot. Va dans le monde des lettres pour les apprendre.
_you_dont_know_any_sentence_containing_that_word,You don't know any sentence containing that word,Tu ne connais aucune phrase contenant ce mot.
_ok,OK,OK
_press_f_to_open_your_alphabet_and_see_your_letters,Click on the letter button on the side of your screen to open your alphabet and see your letters.,Clique sur le bouton sur la droite de l'écran si tu veux voir toutes les lettres que tu connais.
_press_f_to_open_your_notebook_and_see_your_sentences,Click on the sentence button on the side of your screen to open your notebook and see your sentences.,Clique sur le bouton sur la droite de l'écran si tu veux voir les phrases que tu as vues.
_go_to_the_letter_world_to_learn,Go to the letter world to learn:,Va dans le monde des lettres pour apprendre :
_this_is_a_shrine,This is a shrine to Buddha. It is very clean!,C'est un autel à Buddha. Il est très propre !
_this_road_leads_to_chaiyaphum,This road leads to Chaiyaphum City. [sound:ชัยภูมิ],Cette route mène à la ville de Chaiyaphum. [sound:ชัยภูมิ]
_select_spell_to_implant,Select the Spell to implant inside the source,Choisis le mot que tu veux implanter dans la source.
_you_dont_have_any_spell_come_back_with_spells,"You don't any Spells, come back when you have Spells.","Tu n'as pas de mots, reviens avec un mot à implanter."
_do_you_want_to_take_it_out,Do you want to take it out? @QYes/No,Veux-tu le sortir de la source ? @QOui/Non
_it_looks_like_the_spell,It looks like the Spell ,On dirait que le mot 
_lives_inside_that_source, lives inside that source., vit dans cette source.
_it_looks_like,It looks like ,On dirait que 
_different_words_live_inside_that_source, different words live inside that source., mots différents vivent dans cette source.
_this_is_a_source_empty+house_spell_inside,"This is a source. It is currently empty, do you want to house a Spell inside? @QYes/No","C'est une source. Elle est vide, veux-tu mettre un mot dedans? @QOui/Non"
_this_is_a_source_it_is_currently_empty_do_you_want_to_house_the_spell,"This is a source. It is currently empty, do you want to house the Spell ","C'est une source. Elle est vide, veux-tu mettre le mot "
_inside_q_yes_no, inside? @QYes/No, dedans? @QOui/Non
_which_letter_corresponds_to_this_sound,Which letter corresponds to this sound?,Quelle letter correspond à ce son ?
_how_do_you_write_this_sound,How do you write this sound?,Comment écrit-on ce son ?
_how_do_you_pronounce_this_letter,How do you pronounce this letter?,Comment prononce-t-on cette lettre ?
_which_word_corresponds_to_this_sound,Which word corresponds to this sound?,Quel mot correspond à ce son ?
_do_you_want_to_use_your_spell_dtat_to_cut_this_bush_q_yes_no,Do you want to use your Spell ตัด to cut this bush? @QYes/No,Veux-tu utiliser le Mot ตัด pour couper ce buisson ?  @QOui/Non
_this_bush_can_be_cut_down_with_dtat,This bush could be cut down if you had the Spell ตัด with you.,Ce buisson pourrait être coupé si tu avais le Mot ตัด avec toi.
_well_done_name,Well done [Name]!,"Bien joué, [Name] !"
_now_your_test_will_be_to,"Now, your test will be to guess the meaning of all words you will find deeper in the forest.","À présent, ton test sera de deviner le sens des mots que tu trouveras dans la forêt."
_i_believe_four_types_of_spells_live_there,I believe four types of Spells live there.,Je crois qu'il y a quatre mots différents qui vivent là.
_good_luck_ill_watch_you_from_here,"Good luck, I'll watch you from here.","Bonne chance, je te regarderai depuis ici."
_my_mom_and_dad_are_at_home,"My mom and dad are at home, they’ll teach you sentences if you go see them!","Mes parents sont à la maison, ils te fileront des phrases si tu vas les voir !"
_but_later_follow_me_to_temple_first,"But later, follow me to the temple first!",Mais tu feras ça plus tard - suis-moi au temple d'abord !
_cool_right,"Cool, right?","Stylé, hein ?"
_my_grandmother_taught_me_this_spell,My grandmother taught me this Spell during my initiation.,Ma grand-mère m'a appris ce mot pendant mon initiation.
_by_the_way_i_saw_pet,Oh by the way I just saw Pet! This guy is always such a jerk!,"Au fait, tu sais quoi ? J'ai vu Pet tout à l'heure. Ce gars est toujours aussi chiant !"
_anyways_follow_me,Anyways. Follow me!,Bref. Suis-moi !
_name_how_was_your_shamanic_initiation,[Name]! How was your shamanic initiation?,[Name] ! Comment s'est passée ton initiation shamanique ?
_mine_went_well_too_my_grandma_taught_me_cool_stuff,Mine went well too! My grandmother has been teaching me super cool stuff!,La mienne s'est bien passée aussi. Ma grand-mère m'a appris plein de trucs cools !
_look_exclamation_mark,Look!,Regarde !
_oh_hey_name,"Oh, hey [Name].","Tiens, salut [Name]."
_what_you_finished_your_initiation,"What, you finished your initiation?","Quoi, tu viens de finir ton initiation ?"
_tch_took_you_long_mine_finished_thirty_minutes_ago,Tch. It took you long enough. I finished mine thirty minutes ago already.,"Pff, ça t'en a pris, du temps. Moi j'ai finis il y a trente minutes déjà."
_id_like_to_have_you_as_training_but_cant_match_intellect,I’d like to have you as a training partner but I doubt you’ll be able to match my intellect.,"J'aurais bien aimé qu'on s'entraîne ensemble, mais je doute que tu sois à mon niveau, ce serait trop facile pour moi."
_you_cant_even_write_bpai,"I’m guessing you don’t even know how to write a basic word such as ""bpai"". @Q ไท/ ปไ/ ไป/ ทไ","Je parie que tu ne sais même pas comment on écrit un mot basique comme ""bpai"" en thaï. @Q ไท/ ปไ/ ไป/ ทไ"
_see_bpai_is_written_i_go_to_chaiyaphum_loser,"See? ""bpai"" is written ไป. In any case, I’ve got important stuff to do in Chaiyaphum. Smell ya later, loser!","Tu vois ? ""bpai"" s'écrit ไป. Bon, j'ai des trucs à faire à Chaiyaphum, alors à plus, loser !"
_hmph_yeah_anyway_i_to_to_chaiyaphum_loser,"Hmph, yeah. In any case, I’ve got important stuff to do in Chaiyaphum. Smell ya later, loser!","Mouais. Bon, j'ai des trucs à faire à Chaiyaphum, alors à plus, loser !"
_welcome_back_name,"Welcome back, [Name].","Bon retour, [Name]."
_you_can_always_go_back_to_your_memory_palace,You can always go back to your Memory Palace using the button on the right-side of your screen.,Tu pourras toujours retourner dans le monde lexical en cliquant sur le bouton sur ton écran.
_for_now_follow_me_into_the_forest,"For now, follow me into the forest.","Pour l'instant, suis-moi dans la forêt."
_i_should_talk_to_my_grandmother_first,I should talk to my grandmother first...,Je devrais d'abord parler à ma grand-mère...
_i_shouldnt_go_there_now,I shouldn't go there now...,Je ne devrais pas aller ici maintenant...
_heres_the_place_and_time,"Here's the place, and now is the time.",Nous sommes arrivés.
_lets_start_your_shaman_initiation,Let's start your shamanic initiation.,Commençons ton initiation.
_once_you_drink_this,"Once you drink this potion, you will gain power over spirits and spells,","Tu vois cette potion ? Une fois que tu l'auras bu, tu gagneras la capacité de commander aux sorts et mots."
_but_theres_a_cost,But there is a cost:,Mais il faudra payer le prix :
_youll_forget_thai,you will forget everything you know of the Thai language and you’ll have to learn Thai again from scratch.,"Tu oublieras tout ce que tu sais du thaï, et il te faudras réapprendre le thaï depuis le début."
_you_trade_thai_for_power,You trade your fluency in your mother tongue for power over the spirit world.,Tu échanges ta langue maternelle contre le pouvoir de commander le monde spirituel.
_if_you_ready_drink_this,"If you're ready, drink this.","Si ton cœur est prêt, alors bois."
_name_drink_potion,[ShowNoName][Name] drinks Yaai's potion.,[ShowNoName][Name] boit la potion de Yaai.
_name_you_see_this_sentence,"[Name], you see the sentence written here?","[Name], tu vois cette phrase écrite ici ?"
_this_is_your_first_since_forgotten_thai,This will be your first sentence since you've forgotten Thai!,C'est ta première phrase depuis que tu réapprends le thaï !
_this_means_thai_people_are_good,"This sentence means \""Thai people are good people\"" - don't ask me why.","Cette phrase signifie ""Les Thaïs sont de bonnes personnes"" - ne me demande pas pourquoi."
_sentences_like_this_help_you_understand_the_meaning_of_words,"Sentences like this will help you understand the meaning of words, you should write it in your notebook.","Ce genre de phrases t'aide à comprendre le sens des mots, alors tu devrais la noter dans ton carnet."
_im_so_happy_for_pet_initiation_went_well,"I’m so happy for Pet, his shamanic initiation went well.","Je suis tellement contente pour Pet, son initiation chamanique s'est bien passée."
_hes_in_chaiyaphum_tell_him_to_drop_by,"He’s in Chaiyaphum now, tell him to drop by if you meet him!","Il devrait être à Chaiyaphum maintenant, dis-lui de passer à la maison si tu le vois !"
_thats_good_name_very_good,"That's good, [Name], very good!","C'est bien, [Name], c'est très bien !"
_now_go_to_chaiyaphum_see_anchalee,"Now, go to Chaiyaphum, I asked the grandmother of your friend Ploy to train you.","Maintenant, va à Chaiyaphum, j'ai demandé à la grand-mère de ton amie Ploy de t'entraîner."
_i_have_important_issues_to_solve_in_the_spirit_world,I have very important issues to solve in the spirit world.,J'ai un problème important à régler dans le monde spirituel.
_if_everything_goes_well_ill_see_you_soon,"If everything goes well, I'll be seeing you soon, [Name].","Si tout se passe bien, on se reverra bientôt, [Name]."
_are_you_looking_for_pet,"Are you looking for Pet? He's just left, he’s doing his shamanic initiation with his dad.","Tu viens voir Pet ? Désolée, il vient de partir, il est en train de passer son initiation chamanique avec son père."
_come_again_later_and_train_together,"Come again later, you could be training together!","Reviens tout-à-l'heure, vous pourriez vous entraîner ensemble quand tu auras finis la tienne !"
_sorry_shop_closed_today,"Sorry, the shop is closed today, come again tomorrow!","Désolé, le magasin est fermé aujourd'hui, repasse demain !"
_you_made_first_step_in_lexical_world,"[Name], you made your first step into the Lexical World, this shall be your Memory Palace.","[Name], tu viens de faire ton premier pas dans le Monde Lexical, il sera ton palais de la mémoire."
_this_places_will_make_it_easier_for_you_to_learn_the_letters,This place will make it easier for you to learn the letters.,Cet endroit te facilitera l'apprentissage de l'alphabet thaï.
_your_first_task_will_be_to_find_these_five_letters,"First, go find the following letters:              น, ท, ย, ค, ไ-.","Pour commencer, va trouver les lettres suivantes : น, ท, ย, ค, ไ-."
_looking_for_letters,Looking for letters: ,Trouve les lettres : 
_found_required_letters,Found all required letters,Toutes les lettres requises sont trouvées
_names_takes_door_to,[Name] takes the door to the ,[Name] prend la porte menant au 
_vowels,Vowels,Voyelles
_name_exclamation_mark,[Name]!,[Name] !
_name_do_you_hear_me,"[Name], do you hear me?","[Name], tu m'entends ?"
_you_have_found_all_the_needed_letters_for_now,You have found all the letters you needed for now - you can come back amongst us now.,"Tu as trouvé toutes les letters qu'il te fallais, tu peux rentrer maintenant."
_to_leave_this_world_press_f_key,"To leave the Lexical World, press the button on the right side of your screen.","Pour quitter le Monde Lexical, appuie sur le bouton qui s'affiche sur la droite de ton écran."
_tones,Tones,Tons
_numbers,Numbers,Chiffres
_accents,Accents,Accents
_high_class_consonants,High Class Consonants,Consonnes de haute classe
_mid_class_consonants,Mid Class Consonants,Consonnes de moyenne classe
_low_class_consonants,Low Class Consonants,Consonnes de basse classe
_you_found_letter_s_you_put_it_in_bag_come_in_handy_later,"You've found the letter %s. You keep it with you, it might come in handy later!","Tu as trouvé la lettre %s. Tu la gardes avec toi, ça pourrait être utile plus tard !"
_i_came_here_to_get_help_from_the_shamans,I came here to get some help from the shamans.,Je suis venue ici pour chercher l'aide des chamans.
_hey_name_long_time_no_see_heres_a_sentence_for_you,"Hey [Name], long time no see! Here's a sentence for you to learn:","Salut [Name], ça faisait longtemps ! Tiens, voilà une phrase pour toi :"
_you_want_to_learn_a_sentence_how_about,"So, you want to learn a Sentence? How about :","Alors, tu veux apprendre une phrase ? Qu'est-ce que tu dis de celle-là :"
_hey_my_name_is_som,"Hey, my name is Som, I just moved here recently.","Salut, je m'appelle Som, on vient d'emménager ici."
_heres_a_sentence_for_you,"Oh, you're learning Thai? Here's a Thai sentence for you:","Oh, tu apprends le thaï ? Je peux t'enseigner une phrase si tu veux :"
_congrats_reached_end_game,"Congratulations, you've reached the end of the game!","Félicitations, tu as atteint la fin du jeu !"
_pronunciation,Pronunciation,Prononciation
_standard_font,Standard font,Police standard
_modern_font,Moderne font,Police moderne
_consonant_class,Consonant class,Classe de la consonne
_how_to_remember_it,How to remember it:,Astuce pour s'en souvenir :
_this_is_temple_bookshelf,"This is full of books about Spells, Spirits, Sources and Buddhism.","C'est plein de livres sur les Mots, les Esprits, les Sources et le Bouddhisme."
_it_looks_like_somebody_else_uses_this_computer,It looks like somebody else is using this computer.,On dirait que quelqu'un d'autre utilise cet ordinateur.
_name_turns_the_computer_on,[Name] turns the computer on.,[Name] allume l'ordinateur.
_select_sentence_to_analyse,Select the sentence you want to analyze,Sélectionne la phrase que tu veux analyser.
_i_translate_sentences_you_want_to_help,"Hey [Name], I'm trying to translate some sentences into English, you want to help?","Salut [Name], je suis en train d'essayer de traduire des phrases en français, tu veux m'aider ?"
_submit,Submit,Valider
_hmm_no_i_think_its_a_different_sentence,"Hmm, no, this doesn't fit with what I know, I think it's a bit different.","Hmm, non, certains mots ne vont pas, cette phrase n'a pas l'air d'aller."
_hmm_yeah_i_thnk_this_is_the_sentence,"Hmm, yes [Name], I believe this is it! It's also corroleted by my research!","Oui [Name], je crois que c'est ça ! C'est aussi en accord avec mes recherches."
_word_matching,Words matching,Pairer les mots
_sentence_translation,Sentence translation,Traduction
_speech_recognition,Speech recognition,Reconnaissance vocale
_all_done,All done!,Séance terminée !
_hey_name_wanna_buy_something,"Hey [Name], how are you? You're buying something?","Hey [Name], ça va ? Tu achètes quelque chose ?"
_buy,Buy,Acheter
_cancel,Cancel,Annuler
_your_money,Your money: ,Ton argent : 
_in_bag,In the bag: ,Dans ton sac : 
_close,Close,Fermer
_letters_are_used_for,Letters are used to make Spells.,Les Lettres sont utilisées pour fabriquer des Mots.
_letter_,Letter ,Lettre 
_this_emits_an_evil_aura,"This seems to be made of stray letters. It's very agitated, and emits a dark aura...","On dirait que c'est composé de lettres égarées. C'est très agité, et ça émet une aura maléfique..."
_the_shard_attacks,Oh no! It attacks!,Oh non ! Ça attaque !
_this_road_leads_to_mohinkhao,This path leads to the rock formations of มอหินขาว (Mo Hin Khao). [sound:มอหินขาว],Ce chemin mène aux formations rocheuses de มอหินขาว (Mo Hin Khao). [sound:มอหินขาว]
_hey_name_long_time_no_see_in_internet_cafe,"Hey [Name], how are you doing? It's been a while since I last saw you in my internet café.","Salut [Name], la forme ? Ça fait longtemps que je t'ai pas vu dans mon café internet !"
_computer_cost_10_bahts,"As always, you can use the computer for only 10 Bahts.","Comme d'hab, tu peux utiliser les ordis pour juste 10 Bahts."
_pet_money_dialog_1,I'd like to buy some letters to make a Spell but I don't have enough money...,J'aimerais bien acheter des lettres pour invoquer un Mot mais j'ai pas assez d'argent...
_pet_money_dialog_2,"Be nice [Name], give me 15 bahts. @QOK/No","Allez sois sympa [Name], passe-moi 15 bahts. @QOK/Non"
_pet_money_dialog_not_enough,You don't even have 15 bahts? What a loser.,T'as même pas 15 bahts ? Quel loser !
_pet_money_dialog_ok_1,[ShowNoName][Name] gives 15 bahts to Pet.,[ShowNoName][Name] donne 15 bahts à Pet.
_pet_money_dialog_ok_1,"Ha! You actually gave me the money! You know you won't get it back, right?","Ha, j'y crois même pas que tu le fasses. J'te les rendrai pas, tu le sais ?"
_see_letters,Letters,Lettres
_see_words,Words,Mots
_see_sentences,Sentences,Phrases
_go_to_letter_world,Go the the letter world,Aller dans le monde des lettres
_quests,Quests,Quêtes
_use_spell,Use a Spell,Utilise un Mot
_make_spell,Make a Spell,Fabrique un Mot
_save_the_game,Save the game,Sauvegarder la partie
_next_page,Next page,Page suivante
_previous_page,Previous page,Page précédente
_plural_dialog_1,"So, you're learning Thai? Isn't it interesting how there's no plural in Thai?","Oh, tu apprends le thaï? C'est marrant qu'on n'ait pas de pluriel en Thaï, non ?"
_plural_dialog_2,"By default, we don't say whether there's one or more things.","Par défaut, on ne précise pas s'il y a une seule chose, ou plus."
_plural_dialog_3,"For me, it's English that's weird as you always have to specify if there's one or more things.","Pour moi, c'est le français qui est bizarre, vu qu'il faut toujours préciser !"
_create_spell,Create Spell,Créer le Mot
_select_spell_to_cast,Select the Spell you want to cast,Choisis le Mot magique que tu veux utiliser